13.141,-2.468,0.562,20
13.996,-3.112,1.017,21
14.326,-4.699,1.616,19
14.623,-5.166,1.726,20
14.865,-4.829,1.738,21
14.851,-4.034,1.446,19
14.853,-4.015,0.782,20
15.373,-5.114,0.079,20
15.746,-7.015,0.318,20
16.062,-8.444,0.919,20
15.832,-9.241,1.139,20
14.853,-9.765,0.998,20
13.551,-10.026,1.029,20
12.109,-9.921,1.12,20
10.694,-9.648,1.278,20
9.811,-9.121,1.103,20
8.753,-8.408,0.787,20
7.826,-7.91,0.56,20
6.835,-7.393,0.742,20
6.042,-6.883,1.005,20
5.236,-6.514,1.168,20
4.481,-5.99,1.127,20
3.852,-5.686,1.017,20
3.184,-5.348,0.972,20
2.87,-5.14,0.792,20
2.908,-5.188,0.421,20
2.961,-5.444,0.088,20
3.062,-5.916,-0.256,20
3.493,-6.426,-0.368,20
4.288,-6.598,-0.15,20
5.451,-6.67,0.076,20
6.912,-7.8,-0.414,20
7.934,-8.564,-0.718,20
9.105,-9.275,-1.007,20
9.777,-8.884,-0.495,20
10.824,-7.079,0.667,20
11.444,-5.169,1.01,20
11.827,-4.204,0.402,20
12.014,-4.917,-0.462,20
12.296,-6.852,-0.921,20
12.842,-8.09,-0.514,20
14.243,-7.704,-0.234,20
15.061,-7.199,-0.239,20
15.028,-6.531,0.447,20
14.544,-5.528,1.474,20
13.69,-4.584,2.212,20
12.67,-4.0,2.078,20
11.726,-3.282,1.862,20
10.958,-3.028,1.735,20
9.911,-3.284,1.467,20
9.282,-3.533,1.47,20
9.057,-3.268,1.731,21
9.172,-2.53,1.594,20
9.411,-2.126,1.211,20
9.593,-2.19,1.012,20
10.031,-2.195,1.182,20
10.24,-2.324,1.242,20
10.747,-2.343,1.338,20
11.355,-2.384,1.666,20
12.193,-2.439,1.944,20
13.139,-2.08,1.663,20
13.754,-1.972,1.307,20
14.381,-4.242,1.295,20
14.915,-5.58,1.841,20
15.516,-5.456,1.163,20
15.172,-3.852,0.881,20
14.911,-3.004,0.217,20
14.741,-3.706,-0.086,20
15.179,-5.944,0.05,20
15.794,-8.248,0.708,20
16.412,-9.411,1.199,20
16.503,-9.947,1.154,20
15.603,-10.225,0.624,20
14.082,-10.23,0.696,20
12.765,-10.093,0.962,20
11.647,-9.797,1.031,20
10.321,-9.402,0.821,20
9.255,-9.006,0.347,20
8.37,-8.844,0.208,20
7.307,-8.508,0.325,20
6.047,-8.039,0.306,20
5.042,-7.486,0.122,20
4.237,-6.885,0.174,20
3.572,-6.282,0.481,20
3.186,-5.865,0.735,20
2.913,-5.714,0.778,20
2.592,-5.791,0.416,20
2.401,-6.165,0.045,20
2.353,-6.54,-0.129,20
2.669,-6.6,-0.215,20
3.545,-6.299,0.155,20
5.195,-6.349,-0.172,20
5.851,-7.161,-0.825,20
6.744,-8.221,-2.281,20
7.721,-8.774,-2.197,20
10.091,-8.056,-0.442,20
11.348,-7.156,1.247,20
11.484,-7.771,1.735,20
12.011,-8.52,2.073,20
13.194,-8.537,2.147,20
13.769,-8.322,1.889,20
14.674,-7.568,1.467,20
15.215,-6.698,1.412,20
15.014,-6.749,1.297,20
14.662,-7.168,1.647,20
